Total companii: 967
ticker | nume_complet | bursa
FROTO.IS | Ford Otomotiv Sanayi AS | Istanbul Stock Exchange
FSG.WA | Fabryki Sprzetu i Narzedzi Gorniczych Grupa Kapitalowa Fasing SA | Warsaw Stock Exchange
FTEP.WA | Grupa Forte SA | Warsaw Stock Exchange
GARAN.IS | Turkiye Garanti Bankasi AS | Istanbul Stock Exchange
GCHP.WA^I15 | Global City Holdings BV | Warsaw Stock Exchange
GDRB.BU | Richter Gedeon Vegyeszeti Gyar Nyrt | Budapest Stock Exchange
GENIL.IS | Gen Ilac ve Saglik Urunleri Sanayi ve Ticaret AS | Istanbul Stock Exchange
GENTS.IS | Gentas Dekoratif Yuzeyler Sanayi ve Ticaret AS | Istanbul Stock Exchange
GEREL.IS | Gersan Elektrik Ticaret ve Sanayi AS | Istanbul Stock Exchange
GESAN.IS | Girisim Elektrik Sanayi Taahhut ve Ticaret AS | Istanbul Stock Exchange
GEV.PR | Gevorkyan as | Prague Stock Exchange
GIFP.WA | Gaming Factory SA | Warsaw Stock Exchange
GIGP.WA^K25 | Gi Group Poland SA | Warsaw Stock Exchange
GIW.WA^F16 | Gremi Inwestycje SA | Warsaw Stock Exchange
GKI.WA | Grupa Kapitalowa Immobile SA | Warsaw Stock Exchange
GKPP.WA^D18 | Gekoplast SA | Warsaw Stock Exchange
GLRMK.IS | Gulermak Agir Sanayi Insaat ve Taahhut AS | Istanbul Stock Exchange
GLYHO.IS | Global Yatirim Holding AS | Istanbul Stock Exchange
GMTP.WA | Genomtec SA | Warsaw Stock Exchange
GNB.WA^J22 | Getin Noble Bank SA w upadlosci | Warsaw Stock Exchange
GNT.WA^E15 | Gant Development SA | Warsaw Stock Exchange
GOBP.WA | Gobarto SA | Warsaw Stock Exchange
GOLDS.IS^D13 | Goldas Kuyumculuk Sanayi Ithalat Ihracat AS | Istanbul Stock Exchange
